Mig instance,Batch size,Workload Number,Throughput,Latency
7,64,5,345.027,0.185
7,128,1,1670.319,0.077
7,128,2,868.658,0.147
7,128,3,577.98,0.221
7,128,4,0,0
7,128,5,0,0
7,256,1,1667.023,0.154
7,256,2,0,0
7,256,3,0,0
7,256,4,0,0
7,256,5,0,0
