Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,110.883,0.009
1,1,2,57.56,0.017
1,1,3,37.69,0.027
1,1,4,28.213,0.035
1,1,5,22.326,0.045
1,2,1,148.382,0.013
1,2,2,77.232,0.026
1,2,3,51.387,0.039
1,2,4,38.459,0.052
1,2,5,30.677,0.065
1,4,1,183.686,0.022
1,4,2,95.723,0.042
1,4,3,63.531,0.063
1,4,4,47.495,0.084
1,4,5,37.988,0.105
1,8,1,204.227,0.039
1,8,2,105.277,0.076
1,8,3,69.572,0.115
1,8,4,52.21,0.153
1,8,5,0,0
1,16,1,217.457,0.074
1,16,2,109.066,0.147
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,32,1,224.591,0.142
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,209.648,0.005
2,1,2,115.396,0.009
2,1,3,76.472,0.013
2,1,4,56.749,0.018
2,1,5,44.89,0.022
2,2,1,274.178,0.007
2,2,2,157.018,0.013
2,2,3,103.17,0.019
2,2,4,77.231,0.026
2,2,5,60.791,0.033
2,4,1,353.92,0.011
2,4,2,191.386,0.021
2,4,3,127.887,0.031
2,4,4,95.598,0.042
2,4,5,76.23,0.052
2,8,1,403.209,0.02
2,8,2,212.957,0.038
2,8,3,139.946,0.057
2,8,4,105.89,0.076
2,8,5,84.59,0.095
2,16,1,430.966,0.037
2,16,2,221.427,0.072
2,16,3,145.694,0.11
2,16,4,109.71,0.146
2,16,5,88.798,0.18
2,32,1,443.296,0.072
2,32,2,224.453,0.143
2,32,3,149.618,0.214
2,32,4,0,0
2,32,5,0,0
2,64,1,446.903,0.143
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,315.233,0.003
3,1,2,186.426,0.005
3,1,3,127.721,0.008
3,1,4,95.154,0.011
3,1,5,74.046,0.014
3,2,1,435.591,0.005
3,2,2,255.277,0.008
3,2,3,174.002,0.011
3,2,4,129.949,0.015
3,2,5,103.033,0.019
3,4,1,536.504,0.007
3,4,2,307.602,0.013
3,4,3,205.108,0.02
3,4,4,156.409,0.026
3,4,5,124.457,0.032
3,8,1,626.489,0.013
3,8,2,338.681,0.024
3,8,3,225.042,0.036
3,8,4,170.462,0.047
3,8,5,136.831,0.058
3,16,1,670.721,0.024
3,16,2,351.64,0.046
3,16,3,233.103,0.069
3,16,4,175.362,0.091
3,16,5,141.276,0.113
3,32,1,701.466,0.046
3,32,2,359.657,0.089
3,32,3,239.93,0.133
3,32,4,179.799,0.178
3,32,5,143.808,0.223
3,64,1,707.405,0.09
3,64,2,377.437,0.17
3,64,3,241.665,0.265
3,64,4,0,0
3,64,5,0,0
3,128,1,711.188,0.18
3,128,2,0,0
3,128,3,0,0
3,128,4,0,0
3,128,5,0,0
3,256,1,0,0
3,256,2,0,0
3,256,3,0,0
3,256,4,0,0
3,256,5,0,0
4,1,1,392.762,0.003
4,1,2,238.683,0.004
4,1,3,157.174,0.006
4,1,4,116.585,0.009
4,1,5,90.626,0.011
4,2,1,556.212,0.004
4,2,2,318.959,0.006
4,2,3,214.744,0.009
4,2,4,159.833,0.013
4,2,5,125.803,0.016
4,4,1,692.532,0.006
4,4,2,390.643,0.01
4,4,3,256.863,0.016
4,4,4,191.851,0.021
4,4,5,152.502,0.026
4,8,1,773.569,0.01
4,8,2,417.987,0.019
4,8,3,284.048,0.028
4,8,4,212.155,0.038
4,8,5,170.668,0.047
4,16,1,832.759,0.019
4,16,2,429.738,0.037
4,16,3,286.649,0.056
4,16,4,216.742,0.074
4,16,5,175.335,0.091
4,32,1,866.111,0.037
4,32,2,458.161,0.07
4,32,3,292.863,0.109
4,32,4,219.388,0.146
4,32,5,175.518,0.182
4,64,1,870.281,0.074
4,64,2,442.602,0.145
4,64,3,294.646,0.217
4,64,4,0,0
4,64,5,0,0
4,128,1,874.231,0.146
4,128,2,0,0
4,128,3,0,0
4,128,4,0,0
4,128,5,0,0
4,256,1,0,0
4,256,2,0,0
4,256,3,0,0
4,256,4,0,0
4,256,5,0,0
7,1,1,559.302,0.002
7,1,2,386.885,0.003
7,1,3,263.218,0.004
7,1,4,202.806,0.005
7,1,5,157.457,0.006
7,2,1,805.53,0.002
7,2,2,516.646,0.004
7,2,3,354.397,0.006
7,2,4,271.428,0.007
7,2,5,213.758,0.009
7,4,1,1025.766,0.004
7,4,2,634.584,0.006
7,4,3,437.766,0.009
7,4,4,330.849,0.012
7,4,5,259.461,0.015
7,8,1,1287.218,0.006
7,8,2,703.065,0.011
7,8,3,474.343,0.017
7,8,4,357.933,0.022
7,8,5,290.804,0.028
7,16,1,1389.69,0.012
7,16,2,765.742,0.021
7,16,3,484.716,0.033
7,16,4,367.428,0.044
7,16,5,303.375,0.053
7,32,1,1447.218,0.022
7,32,2,740.647,0.043
7,32,3,493.423,0.065
7,32,4,371.061,0.086
7,32,5,296.421,0.108
7,64,1,1460.63,0.044
