Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,196.762,0.005
1,1,2,125.968,0.008
1,1,3,82.28,0.012
1,1,4,61.49,0.016
1,1,5,46.99,0.021
1,2,1,274.088,0.007
1,2,2,150.088,0.013
1,2,3,96.982,0.021
1,2,4,72.526,0.028
1,2,5,57.745,0.035
1,4,1,317.323,0.013
1,4,2,168.531,0.024
1,4,3,111.125,0.036
1,4,4,82.665,0.048
1,4,5,65.759,0.061
1,8,1,358.277,0.022
1,8,2,185.293,0.043
1,8,3,124.504,0.064
1,8,4,91.782,0.087
1,8,5,73.978,0.108
1,16,1,385.714,0.041
1,16,2,200.564,0.08
1,16,3,133.291,0.12
1,16,4,0,0
1,16,5,0,0
1,32,1,412.097,0.078
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,213.372,0.005
2,1,2,201.125,0.005
2,1,3,161.532,0.006
2,1,4,125.179,0.008
2,1,5,95.847,0.01
2,2,1,429.018,0.005
2,2,2,298.187,0.007
2,2,3,198.566,0.01
2,2,4,148.388,0.013
2,2,5,115.278,0.017
2,4,1,596.356,0.007
2,4,2,336.427,0.012
2,4,3,223.902,0.018
2,4,4,166.512,0.024
2,4,5,131.633,0.03
2,8,1,687.254,0.012
2,8,2,366.522,0.022
2,8,3,249.113,0.032
2,8,4,184.799,0.043
2,8,5,148.644,0.054
2,16,1,738.306,0.022
2,16,2,386.22,0.041
2,16,3,257.771,0.062
2,16,4,192.332,0.083
2,16,5,158.587,0.101
2,32,1,789.006,0.041
2,32,2,409.92,0.078
2,32,3,271.594,0.118
2,32,4,271.594,0.118
2,32,5,0,0
2,64,1,817.568,0.078
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,213.47,0.005
3,1,2,209.073,0.005
3,1,3,208.517,0.005
3,1,4,185.133,0.005
3,1,5,147.218,0.007
3,2,1,423.43,0.005
3,2,2,402.379,0.005
3,2,3,310.683,0.006
3,2,4,246.215,0.008
3,2,5,192.333,0.01
3,4,1,833.36,0.005
3,4,2,543.662,0.007
3,4,3,372.615,0.011
3,4,4,278.919,0.014
3,4,5,218.626,0.018
3,8,1,1072.439,0.007
3,8,2,610.776,0.013
3,8,3,420.133,0.019
3,8,4,316.401,0.025
3,8,5,249.181,0.032
3,16,1,1188.228,0.013
3,16,2,679.95,0.024
3,16,3,434.992,0.037
3,16,4,317.509,0.05
3,16,5,256.974,0.062
3,32,1,1291.913,0.025
3,32,2,684.858,0.047
3,32,3,457.23,0.07
3,32,4,341.8,0.094
3,32,5,272.897,0.117
3,64,1,1328.518,0.048
3,64,2,711.267,0.09
3,64,3,472.259,0.136
3,64,4,0,0
3,64,5,0,0
3,128,1,1370.979,0.093
3,128,2,0,0
3,128,3,0,0
3,128,4,0,0
3,128,5,0,0
3,256,1,0,0
3,256,2,0,0
3,256,3,0,0
3,256,4,0,0
3,256,5,0,0
4,1,1,214.771,0.005
4,1,2,209.66,0.005
4,1,3,206.567,0.005
4,1,4,199.969,0.005
4,1,5,181.534,0.006
4,2,1,431.045,0.005
4,2,2,420.52,0.005
4,2,3,379.398,0.005
4,2,4,300.927,0.007
4,2,5,235.004,0.009
4,4,1,842.399,0.005
4,4,2,652.525,0.006
4,4,3,451.546,0.009
4,4,4,337.28,0.012
4,4,5,263.41,0.015
4,8,1,1292.662,0.006
4,8,2,729.037,0.011
4,8,3,499.527,0.016
4,8,4,374.36,0.021
4,8,5,298.217,0.027
4,16,1,1405.838,0.011
4,16,2,747.693,0.021
4,16,3,501.111,0.032
4,16,4,370.878,0.043
4,16,5,306.345,0.052
4,32,1,1491.663,0.021
4,32,2,781.424,0.041
4,32,3,522.361,0.061
4,32,4,390.236,0.082
4,32,5,313.318,0.102
4,64,1,1523.488,0.042
4,64,2,810.12,0.079
4,64,3,538.092,0.119
4,64,4,0,0
4,64,5,0,0
4,128,1,1547.98,0.083
4,128,2,0,0
4,128,3,0,0
4,128,4,0,0
4,128,5,0,0
4,256,1,0,0
4,256,2,0,0
4,256,3,0,0
4,256,4,0,0
4,256,5,0,0
7,1,1,195.826,0.005
7,1,2,196.372,0.005
7,1,3,201.832,0.005
7,1,4,204.7,0.005
7,1,5,202.809,0.005
7,2,1,425.561,0.005
7,2,2,415.326,0.005
7,2,3,412.79,0.005
7,2,4,399.284,0.005
7,2,5,357.386,0.006
7,4,1,821.169,0.005
7,4,2,814.493,0.005
7,4,3,704.391,0.006
7,4,4,557.711,0.007
7,4,5,442.527,0.009
7,8,1,1599.984,0.005
7,8,2,1155.043,0.007
7,8,3,832.247,0.01
7,8,4,653.038,0.012
7,8,5,517.886,0.015
7,16,1,2211.111,0.007
7,16,2,1262.687,0.013
7,16,3,877.786,0.018
7,16,4,647.187,0.025
7,16,5,537.561,0.03
7,32,1,2396.366,0.013
7,32,2,1335.676,0.024
7,32,3,894.565,0.036
7,32,4,669.024,0.048
7,32,5,552.557,0.058
7,64,1,2482.569,0.026
7,64,2,1378.028,0.046
7,64,3,921.644,0.069
7,64,4,686.712,0.093
7,64,5,550.225,0.116
7,128,1,2551.424,0.05
7,128,2,1398.072,0.092
7,128,3,927.787,0.138
7,128,4,0,0
7,128,5,0,0
7,256,1,2582.226,0.099
7,256,2,0,0
7,256,3,0,0
7,256,4,0,0
7,256,5,0,0
