Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,105.248,0.01
1,1,2,74.316,0.013
1,1,3,49.558,0.02
1,1,4,37.937,0.026
1,1,5,28.942,0.035
1,2,1,171.175,0.012
1,2,2,95.993,0.021
1,2,3,62.242,0.032
1,2,4,46.086,0.043
1,2,5,36.068,0.055
1,4,1,198.611,0.02
1,4,2,104.902,0.038
1,4,3,69.319,0.058
1,4,4,51.699,0.077
1,4,5,40.924,0.098
1,8,1,232.625,0.034
1,8,2,123.052,0.065
1,8,3,80.641,0.099
1,8,4,58.266,0.137
1,8,5,0,0
1,16,1,253.003,0.063
1,16,2,131.472,0.122
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,32,1,266.749,0.12
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,108.395,0.009
2,1,2,103.116,0.01
2,1,3,92.094,0.011
2,1,4,73.114,0.014
2,1,5,55.648,0.018
2,2,1,221.057,0.009
2,2,2,183.679,0.011
2,2,3,124.582,0.016
2,2,4,94.064,0.021
2,2,5,72.416,0.028
2,4,1,359.521,0.011
2,4,2,216.185,0.019
2,4,3,141.145,0.028
2,4,4,104.744,0.038
2,4,5,81.359,0.049
2,8,1,449.705,0.018
2,8,2,241.053,0.033
2,8,3,162.794,0.049
2,8,4,120.265,0.067
2,8,5,96.404,0.083
2,16,1,484.845,0.033
2,16,2,257.402,0.062
2,16,3,171.13,0.093
2,16,4,127.68,0.125
2,16,5,0,0
2,32,1,516.1,0.062
2,32,2,269.652,0.119
2,32,3,0,0
2,32,4,0,0
2,32,5,0,0
2,64,1,531.328,0.12
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,107.661,0.009
3,1,2,109.863,0.009
3,1,3,104.011,0.01
3,1,4,103.672,0.01
3,1,5,83.614,0.012
3,2,1,213.718,0.009
3,2,2,219.402,0.009
3,2,3,180.546,0.011
3,2,4,147.521,0.014
3,2,5,116.987,0.017
3,4,1,437.499,0.009
3,4,2,326.534,0.012
3,4,3,227.665,0.018
3,4,4,172.616,0.023
3,4,5,133.995,0.03
3,8,1,683.145,0.012
3,8,2,397.802,0.02
3,8,3,275.727,0.029
3,8,4,204.024,0.039
3,8,5,160.301,0.05
3,16,1,767.869,0.021
3,16,2,420.784,0.038
3,16,3,284.266,0.056
3,16,4,208.776,0.077
3,16,5,168.099,0.095
3,32,1,832.965,0.038
