Mig instance,Batch size,Workload Number,Throughput,Latency
7,32,5,966.682,0.033
7,64,1,3896.459,0.016
7,64,2,2229.961,0.029
7,64,3,1498.049,0.043
7,64,4,1117.482,0.057
7,64,5,957.777,0.067
7,128,1,3871.405,0.033
7,128,2,2257.337,0.057
7,128,3,1516.842,0.084
7,128,4,1137.922,0.112
7,128,5,0,0
7,256,1,3909.049,0.065
7,256,2,2260.841,0.113
7,256,3,0,0
7,256,4,0,0
7,256,5,0,0
