Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,86.896,0.012
1,1,2,84.384,0.012
1,1,3,81.495,0.012
1,1,4,67.285,0.015
1,1,5,54.268,0.018
1,2,1,170.46,0.012
1,2,2,126.273,0.016
1,2,3,85.229,0.023
1,2,4,63.651,0.031
1,2,5,49.627,0.04
1,4,1,266.913,0.015
1,4,2,146.696,0.027
1,4,3,96.853,0.041
1,4,4,71.656,0.056
1,4,5,56.384,0.071
1,8,1,296.478,0.027
1,8,2,157.395,0.051
1,8,3,105.11,0.076
1,8,4,77.591,0.103
1,8,5,77.591,0.103
1,16,1,322.621,0.05
1,16,2,169.638,0.094
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,32,1,318,0.101
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,81.782,0.012
2,1,2,82.803,0.012
2,1,3,79.209,0.013
2,1,4,77.74,0.013
2,1,5,75.958,0.013
2,2,1,170.051,0.012
2,2,2,158.351,0.013
2,2,3,154.291,0.013
2,2,4,121.505,0.016
2,2,5,95.511,0.021
2,4,1,325.528,0.012
2,4,2,273.217,0.015
2,4,3,189.186,0.021
2,4,4,139.319,0.029
2,4,5,109.97,0.036
2,8,1,549.529,0.015
2,8,2,309.281,0.026
2,8,3,208.783,0.038
2,8,4,150.809,0.053
2,8,5,123.53,0.065
2,16,1,612.551,0.026
2,16,2,324.687,0.049
2,16,3,222.972,0.072
2,16,4,160.864,0.099
2,16,5,0,0
2,32,1,605.805,0.053
2,32,2,318.49,0.1
2,32,3,0,0
2,32,4,0,0
2,32,5,0,0
2,64,1,634.717,0.101
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,83.791,0.012
3,1,2,82.473,0.012
3,1,3,81.053,0.012
3,1,4,77.166,0.013
3,1,5,76.31,0.013
3,2,1,165.214,0.012
3,2,2,159.755,0.013
3,2,3,164.493,0.012
3,2,4,153.71,0.013
3,2,5,149.211,0.013
3,4,1,333.541,0.012
3,4,2,314.716,0.013
3,4,3,295.736,0.014
3,4,4,227.684,0.018
3,4,5,178.657,0.022
3,8,1,651.232,0.012
3,8,2,490.403,0.016
3,8,3,343.58,0.023
3,8,4,250.549,0.032
3,8,5,207.917,0.038
3,16,1,952.006,0.017
3,16,2,557.593,0.029
3,16,3,379.507,0.042
3,16,4,265.151,0.06
3,16,5,216.924,0.074
3,32,1,984.59,0.033
3,32,2,533.496,0.06
3,32,3,357.82,0.089
3,32,4,267.166,0.12
3,32,5,0,0
3,64,1,1039.09,0.062
3,64,2,586.766,0.109
3,64,3,0,0
3,64,4,0,0
3,64,5,0,0
3,128,1,1073.513,0.119
3,128,2,0,0
3,128,3,0,0
3,128,4,0,0
3,128,5,0,0
3,256,1,0,0
3,256,2,0,0
3,256,3,0,0
3,256,4,0,0
3,256,5,0,0
4,1,1,82.315,0.012
4,1,2,81.67,0.012
4,1,3,79.263,0.013
4,1,4,78.106,0.013
4,1,5,72.747,0.014
4,2,1,165.543,0.012
4,2,2,165.147,0.012
4,2,3,157.712,0.013
4,2,4,153.996,0.013
4,2,5,146.752,0.014
4,4,1,325.886,0.012
4,4,2,313.467,0.013
4,4,3,311.962,0.013
4,4,4,263.52,0.015
4,4,5,213.022,0.019
4,8,1,652.666,0.012
4,8,2,578.65,0.014
4,8,3,399.332,0.02
4,8,4,291.293,0.027
4,8,5,243.589,0.033
4,16,1,1114.708,0.014
4,16,2,629.209,0.025
4,16,3,428.687,0.037
4,16,4,309.955,0.052
4,16,5,252.163,0.063
4,32,1,1117.255,0.029
4,32,2,613.787,0.052
4,32,3,409.515,0.078
4,32,4,305.081,0.105
4,32,5,0,0
4,64,1,1197.987,0.053
4,64,2,635.978,0.101
4,64,3,0,0
4,64,4,0,0
4,64,5,0,0
4,128,1,1216.586,0.105
4,128,2,0,0
4,128,3,0,0
4,128,4,0,0
4,128,5,0,0
4,256,1,0,0
4,256,2,0,0
4,256,3,0,0
4,256,4,0,0
4,256,5,0,0
7,1,1,83.858,0.012
7,1,2,80.356,0.012
7,1,3,81.404,0.012
7,1,4,76.665,0.013
7,1,5,73.226,0.014
7,2,1,161.597,0.012
7,2,2,159.262,0.013
7,2,3,155.418,0.013
7,2,4,157.425,0.013
7,2,5,153.569,0.013
7,4,1,334.189,0.012
7,4,2,325.705,0.012
7,4,3,317.071,0.013
7,4,4,309.03,0.013
7,4,5,298.998,0.013
7,8,1,634.028,0.013
7,8,2,635.529,0.013
7,8,3,600.444,0.013
7,8,4,486.198,0.016
7,8,5,395.034,0.02
7,16,1,1267.332,0.013
7,16,2,979.9,0.016
7,16,3,735.463,0.022
7,16,4,507.584,0.032
7,16,5,437.327,0.037
7,32,1,1825.409,0.018
7,32,2,1036.978,0.031
7,32,3,711.787,0.045
7,32,4,525.082,0.061
7,32,5,432.427,0.074
7,64,1,1900.479,0.034
7,64,2,1091.447,0.059
7,64,3,732.06,0.087
7,64,4,542.13,0.118
7,64,5,0,0
7,128,1,2008.799,0.064
7,128,2,1114.105,0.115
7,128,3,0,0
7,128,4,0,0
7,128,5,0,0
7,256,1,2034.008,0.126
7,256,2,0,0
7,256,3,0,0
7,256,4,0,0
7,256,5,0,0
