6434,183,N/A,N/A,418.5,167,N/A,N/A,204.5,N/A,396.5
6434,183,216.5,168.5,418.5,167,211.5,212.5,204.5,399.5,396.5
4294,126,150,119,282,113,144,146,138,227,265
4294,126,150,119,282,113,144,146,138,227,265
2153,69,83.5,69.5,145.5,59,76.5,79.5,71.5,114.5,133.5
6434,183,216.5,168.5,418.5,167,211.5,212.5,204.5,399.5,396.5
